n,M(n),M_total,omega,f
59,-4.288238266216650983140693873908878895452314983569e-31,1.6720875960716319125818461306546255434986386100243e-27,133306363179554.24062442550284910562744267890276174,21216366645629.486936502625609546778532362192405084
60,-2.6439279761056441119404899498692458788049150211741e-31,1.6718232032740213481706520816596386189107581185222e-27,133316903722616.6185291793958222688382351507370335,21218044225160.737364122094470590418133867618556038
61,4.3459609590406686927604606196163774029511639835338e-34,1.6718236378701172522375213577057005805484984136386e-27,133316886394529.99240611231707231032563113535706073,21218041467310.096492072703827080802240372899014728
62,2.5466680058452522291312628132393432845927792405674e-31,1.6720783046707017774604344839870245148769576915626e-27,133306733557287.9621771876509776372215191870495992,21216425593076.619895396558447814352049406170600007
63,3.9574896161742947798103569667959934923666776218449e-31,1.6724740536323192069384155196837041142261943593248e-27,133290960779682.7867033778256531980672521516551301,21213915277554.467071663322174959839287821816050129
64,4.0930141024589144950003603287644773510751602014684e-31,1.672883355042565098387915555716580561961301875345e-27,133274653750413.56470402200943702666016088765487976,21211319933239.126172771413037502485645046409378255
65,2.4844665596402534641732076277923092783750436426406e-31,1.6731318016985291237343328764793597928891393797092e-27,133264758274363.78734864550730771310467327409737808,21209745019311.556644519587859958954982724670601131
66,1.6702132685648949703148768713484643993182319003613e-32,1.6731485038312147726840360252480732775331325620282e-27,133264093117856.54886210511639077602767541820040688,21209639156365.499899326274137692077299579866697867
67,-2.012184920312891054946429620367724410185767286899e-31,1.6729472853391834835785413822860365050921139852996e-27,133272107235762.10477290631119395259782715164947273,21210914642844.690389748973864843181337175247218575
68,-2.5924906377676665239864178963024049008489468211916e-31,1.6726880362754067169261427404964062646020290906174e-27,133282434723504.96632573543462982519843462069442328,21212558313568.68776680016378791721664264984258843
69,-2.6283944495966343652487568226535398213111769500618e-31,1.6724251968304470534896178648141409106198979729224e-27,133292907689629.77691052663086787522364401467218394,21214225137896.285343046938906194532939736928851697
70,-1.8896614164551487353950433105320882069903310689166e-31,1.6722362306888015386160783604830877017991989398155e-27,133300438663568.48977891408617256750492088398599962,21215423729624.927736487275589221014591493804112961
71,-1.9303987104854333119256011035397826767454705178775e-32,1.6722169267016966842829591044720523039724314851104e-27,133301208068088.22585747552814870614709045613989645,21215546184157.480979132448652624848072654780177856
72,1.2056677883040118126322533678477443268182741589672e-31,1.6723374934805270854642223298088370784051133125262e-27,133296402821833.99241574151060995578996091928405443,21214781405463.3459124865923169637974832506518224
73,1.8500172080488085024270450914615864482091923260443e-31,1.6725224952013319663144650343179832370499342317589e-27,133289030500703.84284399408385609288353234817909337,21213608064113.421779888005070044895152882378908212
74,1.6118455927285978263157022879269919126452868052263e-31,1.6726836797606048260970966045467759362411987604394e-27,133282608290847.2727916516934696276474871411360106,21212585937669.175163900797171808613401835208514553
75,1.5805139893765616190427689021432247756572853463096e-31,1.672841731159542482259000881436990258718764488974e-27,133276311819430.74570334047045065500080547031941287,21211583823119.198049547687570008092662981585562838
76,2.2493105081611674889170672258931673324446633885243e-32,1.6728642242646240939338900521092491903920889356079e-27,133275415808828.02446232103325223439390191178735888,21211441218602.712215593160232442042375706894110282
77,-7.96969315673478584011434854970628489416025991653e-32,1.6727845273330567460754889086237521275431473330087e-27,133278590609589.96936909964043325557564198694773715,21211946503837.30766318266800717462524107758633468
78,-1.7140631344055886100847912698123955907321446537613e-31,1.6726131210196161872144804294967708879840741185433e-27,133285419506944.29320825351625951938223393608734292,21213033356607.115468422051113727727937895773748278
79,-1.2255422368793638693019793957040642547060413358331e-31,1.6724905667959282508275502315572004815586035144098e-27,133290302760761.88519608946845925520370487143515171,21213810550590.557601892551078615681296985845183985
80,-1.4334873106212662581137607001773065373119296360568e-31,1.6723472180648661242017388554871827509048723214462e-27,133296015266551.88984454599794998347179652845164779,21214719724124.477914325039237461933896432820285496
81,-3.0003016989204994380944783261613192583421904574736e-32,1.6723172150478769192073579107039211377122888995416e-27,133297210992050.92903625473424516493995899171137367,21214910029748.231025032430857745436912285269512348
82,5.3423134842706206413489962741165984272572897611515e-32,1.6723706381827196254137714006666623036965614724392e-27,133295081915043.16672545717064409899759431668656631,21214571176618.222351653390210385557714191494548603
83,1.6250921940423812209514385375525835270754954235876e-31,1.6725331474021238635358665445204175620492690219816e-27,133288606047598.34247876955674082962431142152251229,21213540510303.570691013568173307154160418353891547
84,1.0982172494677659103507073453025530686602646243357e-31,1.672642969127070640126901615254947817356135048444e-27,133284230270704.01651916149095881847579383718908645,21212844083780.971412401772353967351882087502753096
85,1.2094762797835946395995439613997630335244639752948e-31,1.6727639167550489995908615696510877936594874948415e-27,133279411687896.23359161958124660218765635509261334,21212077182508.415135327415200791307386034962782267
86,3.9405813519889004344183832660999528957965219455104e-32,1.672803322568568888595205753483748793188445460061e-27,133277841863607.13751808526064272929394888817175132,21211827337213.019774692391963606336611906552494888
87,-3.5763779583517853251755177610050366860983316981117e-32,1.672767558788985370741953998306138742821584476744e-27,133279266596487.07439636577319853818770086424963618,21212054090493.447280705107645623853768817758463416
88,-1.4196594863667323282366466188371025518927987340548e-31,1.6726255928403486975091303336442550325663951968706e-27,133284922589115.16146026567310291064257517665395797,21212954269678.298656900797964653695762956295996079
89,-1.1284323994114010151297155580943917260418332591715e-31,1.6725127496004075574076173620884455933937910135447e-27,133289418832513.84277030768382175328407724303181176,21213669869040.54309087251995430645174641282240713
90,-9.4332860629197984807348413431701323779583668924467e-32,1.6724184167397783594228100136750138920700114298757e-27,133293177878320.18858618591521623703045493526656586,21214268139761.93188701345312999857414752665645331
91,-4.7563598095803075254797378752512839897329614321141e-32,1.6723708531416825563475552162962613792301141002614e-27,133295073348470.31622537855888563658971645228768557,21214569813205.807837737768775139929369560098095745
92,2.6332265482431127922348100268206531114155927864293e-32,1.6723971854071649874754775643965295857612282561893e-27,133294023964057.95058251771152864519725131573795462,21214402798489.376261820167283576871574046408738409
93,1.1265447066312846796286459322301067959747710947725e-31,1.6725098398778281159434404289897525964408257332988e-27,133289534776544.08043935812966348609861170630862919,21213688322106.077412082285614581344432980601861743
94,1.2189849783216336710485388618418879148855264579685e-31,1.6726317383756602793105452828759367852323142859446e-27,133284677733080.2476697380839452567062584551099142,21212915299629.996245431922132033603895326789710117
95,7.2159737486698637806665655217477081657521469766039e-32,1.6727038981131469779483519485311542623139718074143e-27,133281802779809.64105125973117712875219335619342208,21212457736605.820990696454904739797596022237586669
96,5.1469026191437284267729466151600379740668785483277e-32,1.6727553671393384152326196779973058626937124761998e-27,133279752289492.39180680517019953067163593410479103,21212131390936.06870478230172195061653470449606944
97,-2.2141429750165814885379480848070402678867343287487e-32,1.6727332257095882494177342985164577922910336088565e-27,133280634377102.58958560067549271792882211933860005,21212271779539.471798222343672684054731547764604613
98,-8.2120339968495977646401579493687976384948865200538e-32,1.6726511053696197534400878969369641043146486599913e-27,133283906104432.66371638110096786059240392222678267,21212792491116.501945174018230541310387421069290068
99,-1.2719310486036644909588068789606598137865561828861e-31,1.672523912264759386990992016249068038333270004373e-27,133288974035427.31636564723568557010441774080333,21213599077385.549540093176031637318555504198638374
100,-6.019956420939373248153755015700734844247623208393e-32,1.672463712700549993258510478698911030984827528141e-27,133291372851583.00437271130312662400888785182789459,21213980860834.295983999316054924467607525670090103
101,-4.9751030555842892381916863376285930037335319954968e-32,1.672413961669994150366128561835534745054790192821e-27,133293355415110.5251141077337023263293883784194006,21214296395619.694614868627364760066202406203426573
102,1.9493874253326525594330366794733001512887631345251e-32,1.6724334555442474768917228922023294780563030804523e-27,133292578579574.12712373178897555046879701308331171,21214172758404.107430722574838949232126902814729369
103,5.7330544701367837770518081346230293403865616011354e-32,1.6724907860889488447294934102836757083497069460684e-27,133290294022407.59663059988525707273617638948793353,21213809159838.278088432503281787507439932043707438
104,1.2276383565370782807007553324875743484317502066219e-31,1.672613549924602552557563485816924465784550121089e-27,133285402417884.8677080975255609077540141380458296,21213030636798.835108927124042236963176832660495058
105,5.9399791921915965526754708192195007732592701107962e-32,1.6726729497165244685230902405251166607922827137901e-27,133283035788036.37363459489395082037068882202924529,21212653975959.978453778406872589048656756184486197
106,4.3389443705227052423768568521506977165955802018151e-32,1.6727163391602296955755140090936381677694486695921e-27,133281307128446.63043215526089496006560930360381965,21212378851241.34761525606006019957134869775878752
107,-1.5912686642672501847964327053285669953750869078724e-32,1.6727004264735870230736660447665848820994949187231e-27,133281941090929.71558891866803881560876310460610898,21212479749504.2654300401341744398254341126295045
108,-4.1957313096439587862567134653208753330132330060885e-32,1.672658469160490583485803477631931673346164786393e-27,133283612716419.11479056477576112807004553041711158,21212745796963.901721667994119437565337568406145392
109,-1.0796061902504244314067066227310663424383521531718e-31,1.6725505085414655410426628069696585667119209511777e-27,133287914275345.29970419817054345389994091125569207,21213430411330.005116006628390640950770811939681443
110,-6.6371011973850404161423886539919739522417918031717e-32,1.6724841375294916906385013830831186469723985332597e-27,133290558953937.97063997582382770956758046381692047,21213851325000.918012635351734387718839562585307351
111,-3.5216684046272511163778129128532973092754272999233e-32,1.6724489208454454181273376049539901139993057789867e-27,133291962293296.25420555121067315523439215047412323,21214074673396.624250433866348108204229676819292606
112,1.0819547794360510005262111130759852633043316220689e-32,1.6724597403932397786373428670651208738519388223029e-27,133291531143578.79565947490460750009360654447499756,21214006053787.878048780176470120674435655210623615
