n,M_total,omega,phase,Δω²
268,1.67259004316e-27,3.48830970725e+15,9.36217051596e+17,2.046903588020238e+25
269,1.67259285673e-27,3.4883067733e+15,9.3970535837e+17,3.63076566190432e+25
270,1.67258786607e-27,3.48831197749e+15,9.43193670347e+17,4.5242218224495405e+25
271,1.67258164736e-27,3.48831846232e+15,9.46681988809e+17,1.0092637530456548e+26
272,1.67256777481e-27,3.48833292862e+15,9.50170321738e+17,6.217857211476973e+25
273,1.67255922835e-27,3.48834184097e+15,9.53658663579e+17,1.8960447776140321e+25
274,1.67255662225e-27,3.48834455866e+15,9.57147008138e+17,3.2388335754554863e+25
275,1.67256107401e-27,3.48833991629e+15,9.60635348054e+17,4.565921700704765e+25
276,1.67256734988e-27,3.48833337174e+15,9.64123681426e+17,8.327471252586151e+25
277,1.67257879615e-27,3.48832143554e+15,9.67612002861e+17,7.481308961823586e+25
278,1.67258907948e-27,3.48831071216e+15,9.71100313573e+17,1.8145945241128613e+25
279,1.67259157373e-27,3.4883081112e+15,9.74588621685e+17,2.5517397188448013e+25
280,1.67258806624e-27,3.48831176876e+15,9.78076933453e+17,5.166354055119635e+25
281,1.6725809649e-27,3.48831917398e+15,9.81565252627e+17,6.4701227263462235e+25
282,1.67257207155e-27,3.48832844795e+15,9.85053581075e+17,8.300102624928566e+25
283,1.672560663e-27,3.4883403449e+15,9.8854192142e+17,2.007291943713114e+25
284,1.67255790399e-27,3.48834322204e+15,9.92030264642e+17,1.7598643976265137e+25
285,1.67256032291e-27,3.48834069955e+15,9.95518605342e+17,5.854834996574824e+25
286,1.67256837041e-27,3.48833230753e+15,9.99006937649e+17,5.100927384953212e+25
287,1.67257538172e-27,3.48832499611e+15,1.00249526265e+18,8.352224454804883e+25
288,1.67258686212e-27,3.48831302441e+15,1.00598357567e+18,2.557788007516441e+25
289,1.67259037791e-27,3.48830935818e+15,1.00947188503e+18,1.0590027591612012e+25
290,1.67258892226e-27,3.48831087611e+15,1.0129601959e+18,6.20085356467372e+25
291,1.67258039895e-27,3.48831976414e+15,1.01644851567e+18,4.5714499282502704e+25
292,1.67257411538e-27,3.48832631665e+15,1.01993684198e+18,7.612335486085806e+25
293,1.67256365214e-27,3.48833722779e+15,1.02342517921e+18,3.3779099591308072e+25
294,1.6725590092e-27,3.4883420695e+15,1.02691352128e+18,5.589115931832882e+24
295,1.67255977742e-27,3.48834126839e+15,1.03040186255e+18,5.972342676881643e+25
296,1.67256798643e-27,3.48833270795e+15,1.03389019526e+18,4.891158190442582e+25
297,1.6725747094e-27,3.4883256972e+15,1.03737852096e+18,6.354659534687271e+25
298,1.67258344406e-27,3.48831658872e+15,1.04086683754e+18,4.233523811496047e+25
299,1.67258926321e-27,3.48831052057e+15,1.04435514807e+18,2.473996618100043e+24
300,1.67258892315e-27,3.48831087518e+15,1.04784345894e+18,5.192376630791724e+25
301,1.67258178603e-27,3.48831831771e+15,1.05133177726e+18,5.752156271110503e+25
302,1.67257387954e-27,3.48832656259e+15,1.05482010382e+18,5.041066603687318e+25
303,1.67256695052e-27,3.4883337882e+15,1.05830843761e+18,4.842265952492017e+25
304,1.67256029481e-27,3.48834072885e+15,1.06179677834e+18,2.1363243006224093e+23
305,1.67256032417e-27,3.48834069823e+15,1.06528511904e+18,4.093303148332096e+25
306,1.67256595043e-27,3.48833483111e+15,1.06877345387e+18,6.6732162984797174e+25
307,1.67257512286e-27,3.48832526605e+15,1.07226177913e+18,4.135527005540774e+25
308,1.67258080725e-27,3.48831933837e+15,1.07575009847e+18,4.995145886076328e+25
309,1.67258767326e-27,3.48831217855e+15,1.07923841065e+18,2.4096857033911472e+24
310,1.67258800449e-27,3.48831183315e+15,1.08272672248e+18,2.992732239458353e+25
311,1.67258389086e-27,3.48831612281e+15,1.08621503861e+18,7.1959653979730244e+25
312,1.6725739998e-27,3.48832643718e+15,1.08970336504e+18,3.925731973358913e+25
313,1.67256860382e-27,3.48833206413e+15,1.09319169711e+18,4.6543440355130935e+25
314,1.67256220639e-27,3.48833873542e+15,1.09668003584e+18,6.06284246068552e+24
315,1.67256137306e-27,3.48833960444e+15,1.10016837545e+18,2.158440882301404e+25
316,1.67256433984e-27,3.48833651064e+15,1.10365671196e+18,7.0560870852372055e+25
317,1.67257403852e-27,3.4883263968e+15,1.10714503835e+18,4.4182638055670425e+25
318,1.67258011153e-27,3.48832006387e+15,1.11063335842e+18,3.976710228508383e+25
319,1.67258557766e-27,3.48831436383e+15,1.11412167278e+18,1.0488364096743446e+25
320,1.67258701932e-27,3.48831286047e+15,1.11760998564e+18,1.7113652979059453e+25
